r0[m]	z0[m]	Noise[Hz^-1/2]
50.0	1.0	8.33333	9.41484e-26
50.0	1.0	9.16667	1.31386e-25
50.0	1.0	10	1.78314e-25
50.0	1.0	10.8333	2.35845e-25
50.0	1.0	11.6667	3.0602e-25
50.0	1.0	12.5	3.89783e-25
50.0	1.0	13.3333	4.87992e-25
50.0	1.0	14.1667	6.0415e-25
50.0	1.0	15	7.38157e-25
50.0	1.0	15.8333	8.91759e-25
50.0	1.0	16.6667	1.06914e-24
50.0	1.0	17.5	1.26996e-24
50.0	1.0	18.3333	1.49864e-24
50.0	1.0	19.1667	1.75615e-24
50.0	1.0	20	2.04856e-24
50.0	1.0	20.8333	2.38994e-24
50.0	1.0	21.6667	2.80052e-24
50.0	1.0	22.5	3.33707e-24
50.0	1.0	23.3333	4.05835e-24
50.0	1.0	24.1667	5.14966e-24
50.0	1.0	25	6.72095e-24
50.0	1.0	25.8333	8.98309e-24
50.0	1.0	26.6667	1.21501e-23
50.0	1.0	27.5	1.64462e-23
50.0	1.0	28.3333	2.21371e-23
50.0	1.0	29.1667	2.94987e-23
50.0	1.0	30	3.88545e-23
