r0[m]	uref[m/s]	Noise[Hz^-1/2]
30.0	20.0	0.341455	7.29984e-22
30.0	20.0	0.398107	8.67732e-22
30.0	20.0	0.464159	1.03993e-21
30.0	20.0	0.54117	1.25699e-21
30.0	20.0	0.630957	1.53376e-21
30.0	20.0	0.735642	1.8896e-21
30.0	20.0	0.857696	2.35247e-21
30.0	20.0	1	2.9617e-21
30.0	30.0	0.01	1.13749e-23
30.0	30.0	0.0116591	1.22155e-23
30.0	30.0	0.0135936	1.31316e-23
30.0	30.0	0.0158489	1.41327e-23
30.0	30.0	0.0184785	1.5222e-23
30.0	30.0	0.0215443	1.64102e-23
30.0	30.0	0.0251189	1.77385e-23
30.0	30.0	0.0292864	1.91893e-23
30.0	30.0	0.0341455	2.07892e-23
30.0	30.0	0.0398107	2.25502e-23
30.0	30.0	0.0464159	2.45305e-23
30.0	30.0	0.054117	2.67303e-23
30.0	30.0	0.0630957	2.92034e-23
30.0	30.0	0.0735642	3.20154e-23
30.0	30.0	0.0857696	3.52202e-23
30.0	30.0	0.1	3.89085e-23
30.0	30.0	0.116591	4.32499e-23
30.0	30.0	0.135936	4.8366e-23
30.0	30.0	0.158489	5.44912e-23
30.0	30.0	0.184785	6.1982e-23
30.0	30.0	0.215443	7.12645e-23
30.0	30.0	0.251189	8.29497e-23
30.0	30.0	0.292864	9.78754e-23
30.0	30.0	0.341455	1.17324e-22
30.0	30.0	0.398107	1.42935e-22
30.0	30.0	0.464159	1.77176e-22
30.0	30.0	0.54117	2.23499e-22
30.0	30.0	0.630957	2.87016e-22
30.0	30.0	0.735642	3.75118e-22
30.0	30.0	0.857696	4.98855e-22
30.0	30.0	1	6.74886e-22
30.0	40.0	0.01	8.22313e-24
30.0	40.0	0.0116591	8.82423e-24
30.0	40.0	0.0135936	9.47614e-24
30.0	40.0	0.0158489	1.01841e-23
30.0	40.0	0.0184785	1.09529e-23
30.0	40.0	0.0215443	1.17786e-23
30.0	40.0	0.0251189	1.27004e-23
30.0	40.0	0.0292864	1.3692e-23
30.0	40.0	0.0341455	1.47719e-23
30.0	40.0	0.0398107	1.59467e-23
30.0	40.0	0.0464159	1.72335e-23
30.0	40.0	0.054117	1.86366e-23
30.0	40.0	0.0630957	2.01717e-23
30.0	40.0	0.0735642	2.1857e-23
30.0	40.0	0.0857696	2.37063e-23
30.0	40.0	0.1	2.57378e-23
30.0	40.0	0.116591	2.79965e-23
30.0	40.0	0.135936	3.04955e-23
30.0	40.0	0.158489	3.32717e-23
30.0	40.0	0.184785	3.6399e-23
30.0	40.0	0.215443	3.99284e-23
30.0	40.0	0.251189	4.39542e-23
30.0	40.0	0.292864	4.85896e-23
30.0	40.0	0.341455	5.40986e-23
30.0	40.0	0.398107	6.07153e-23
30.0	40.0	0.464159	6.89928e-23
30.0	40.0	0.54117	7.96567e-23
30.0	40.0	0.630957	9.42951e-23
30.0	40.0	0.735642	1.15129e-22
30.0	40.0	0.857696	1.46165e-22
30.0	40.0	1	1.94042e-22
30.0	5.0	0.01	1.07039e-20
30.0	5.0	0.0116591	1.08556e-20
30.0	5.0	0.0135936	1.10179e-20
30.0	5.0	0.0158489	1.11938e-20
30.0	5.0	0.0184785	1.13826e-20
30.0	5.0	0.0215443	1.15883e-20
30.0	5.0	0.0251189	1.18105e-20
30.0	5.0	0.0292864	1.20513e-20
30.0	5.0	0.0341455	1.2314e-20
30.0	5.0	0.0398107	1.26002e-20
30.0	5.0	0.0464159	1.29108e-20
30.0	5.0	0.054117	1.32508e-20
30.0	5.0	0.0630957	1.3626e-20
30.0	5.0	0.0735642	1.40355e-20
30.0	5.0	0.0857696	1.44873e-20
30.0	5.0	0.1	1.49846e-20
30.0	5.0	0.116591	1.55356e-20
30.0	5.0	0.135936	1.61485e-20
30.0	5.0	0.158489	1.68285e-20
30.0	5.0	0.184785	1.759e-20
30.0	5.0	0.215443	1.844e-20
30.0	5.0	0.251189	1.93989e-20
30.0	5.0	0.292864	2.04775e-20
30.0	5.0	0.341455	2.17026e-20
30.0	5.0	0.398107	2.30983e-20
30.0	5.0	0.464159	2.46935e-20
30.0	5.0	0.54117	2.65316e-20
30.0	5.0	0.630957	2.8659e-20
30.0	5.0	0.735642	3.11439e-20
30.0	5.0	0.857696	3.4067e-20
30.0	5.0	1	3.75297e-20
30.0	50.0	0.01	6.54361e-24
30.0	50.0	0.0116591	7.02422e-24
30.0	50.0	0.0135936	7.5458e-24
30.0	50.0	0.0158489	8.11103e-24
30.0	50.0	0.0184785	8.72712e-24
30.0	50.0	0.0215443	9.38835e-24
30.0	50.0	0.0251189	1.01253e-23
30.0	50.0	0.0292864	1.09188e-23
30.0	50.0	0.0341455	1.1783e-23
30.0	50.0	0.0398107	1.27228e-23
30.0	50.0	0.0464159	1.37515e-23
30.0	50.0	0.054117	1.48735e-23
30.0	50.0	0.0630957	1.60998e-23
30.0	50.0	0.0735642	1.7445e-23
30.0	50.0	0.0857696	1.89194e-23
30.0	50.0	0.1	2.05364e-23
30.0	50.0	0.116591	2.23286e-23
