Energy loss[m^2/s^3]	f[Hz]	Noise[Hz^-1/2]
0.39	6.18966	4.94714e-28
0.39	6.81292	2.55444e-28
0.39	7.49894	1.27321e-28
0.39	8.25404	6.04415e-29
0.39	9.08518	2.69022e-29
0.39	10.0	1.10143e-29
0.45	1.0	1.20429e-20
0.45	1.10069	6.03873e-21
0.45	1.21153	2.93453e-21
0.45	1.33352	1.37766e-21
0.45	1.4678	6.22707e-22
0.45	1.6156	2.70002e-22
0.45	1.77828	1.11849e-22
0.45	1.95734	4.40685e-23
0.45	2.15443	1.64346e-23
0.45	2.37137	5.7727e-24
0.45	2.61016	1.90068e-24
0.45	2.87298	5.85018e-25
0.45	3.16228	1.69733e-25
0.45	3.4807	4.90999e-26
0.45	3.83119	1.6794e-26
0.45	4.21697	7.64393e-27
0.45	4.64159	4.01768e-27
0.45	5.10897	2.17506e-27
0.45	5.62341	1.17599e-27
0.45	6.18966	6.28819e-28
0.45	6.81292	3.29756e-28
0.45	7.49894	1.67933e-28
0.45	8.25404	8.20592e-29
0.45	9.08518	3.79234e-29
0.45	10.0	1.62936e-29
0.53	1.0	1.25016e-20
0.53	1.10069	6.27383e-21
0.53	1.21153	3.05133e-21
0.53	1.33352	1.43389e-21
0.53	1.4678	6.48877e-22
0.53	1.6156	2.817e-22
0.53	1.77828	1.1687e-22
0.53	1.95734	4.61251e-23
0.53	2.15443	1.7236e-23
0.53	2.37137	6.06932e-24
0.53	2.61016	2.00521e-24
0.53	2.87298	6.20672e-25
0.53	3.16228	1.82415e-25
0.53	3.4807	5.46149e-26
0.53	3.83119	1.98436e-26
0.53	4.21697	9.38038e-27
0.53	4.64159	4.98092e-27
0.53	5.10897	2.70865e-27
0.53	5.62341	1.47285e-27
0.53	6.18966	7.94357e-28
0.53	6.81292	4.21956e-28
0.53	7.49894	2.18817e-28
0.53	8.25404	1.09599e-28
0.53	9.08518	5.23425e-29
0.53	10.0	2.34617e-29
0.62	1.0	1.29926e-20
0.62	1.10069	6.52592e-21
0.62	1.21153	3.17689e-21
0.62	1.33352	1.49454e-21
0.62	1.4678	6.77154e-22
0.62	1.6156	2.94406e-22
0.62	1.77828	1.22334e-22
0.62	1.95734	4.83739e-23
0.62	2.15443	1.81191e-23
0.62	2.37137	6.39806e-24
0.62	2.61016	2.12224e-24
0.62	2.87298	6.61413e-25
0.62	3.16228	1.97481e-25
0.62	3.4807	6.1494e-26
0.62	3.83119	2.36716e-26
0.62	4.21697	1.15334e-26
0.62	4.64159	6.16971e-27
0.62	5.10897	3.36652e-27
0.62	5.62341	1.83875e-27
0.62	6.18966	9.98544e-28
0.62	6.81292	5.35984e-28
0.62	7.49894	2.82195e-28
0.62	8.25404	1.44333e-28
0.62	9.08518	7.08981e-29
0.62	10.0	3.29799e-29
0.73	1.0	1.35192e-20
0.73	1.10069	6.79693e-21
0.73	1.21153	3.31238e-21
0.73	1.33352	1.56017e-21
0.73	1.4678	7.07859e-22
0.73	1.6156	3.08227e-22
0.73	1.77828	1.28314e-22
0.73	1.95734	5.08439e-23
0.73	2.15443	1.90927e-23
0.73	2.37137	6.76473e-24
0.73	2.61016	2.25403e-24
0.73	2.87298	7.08344e-25
0.73	3.16228	2.15573e-25
0.73	3.4807	7.00934e-26
0.73	3.83119	2.84582e-26
0.73	4.21697	1.41966e-26
0.73	4.64159	7.63762e-27
0.73	5.10897	4.17774e-27
0.73	5.62341	2.28951e-27
0.73	6.18966	1.2502e-27
0.73	6.81292	6.76723e-28
0.73	7.49894	3.60755e-28
0.73	8.25404	1.87833e-28
0.73	9.08518	9.45334e-29
0.73	10.0	4.54023e-29
0.85	1.0	1.40861e-20
0.85	1.10069	7.08919e-21
0.85	1.21153	3.45889e-21
0.85	1.33352	1.63133e-21
0.85	1.4678	7.41252e-22
0.85	1.6156	3.23349e-22
0.85	1.77828	1.34874e-22
0.85	1.95734	5.35752e-23
0.85	2.15443	2.01746e-23
0.85	2.37137	7.17485e-24
0.85	2.61016	2.4038e-24
0.85	2.87298	7.62972e-25
0.85	3.16228	2.37507e-25
0.85	3.4807	8.087e-26
0.85	3.83119	3.44271e-26
0.85	4.21697	1.74929e-26
0.85	4.64159	9.45035e-27
0.85	5.10897	5.17872e-27
0.85	5.62341	2.84539e-27
0.85	6.18966	1.56031e-27
0.85	6.81292	8.50228e-28
0.85	7.49894	4.57847e-28
0.85	8.25404	2.41945e-28
0.85	9.08518	1.2428e-28
0.85	10.0	6.13597e-29
1.0	1.0	1.46988e-20
1.0	1.10069	7.40564e-21
1.0	1.21153	3.61802e-21
1.0	1.33352	1.70892e-21
1.0	1.4678	7.77806e-22
1.0	1.6156	3.39933e-22
1.0	1.77828	1.42114e-22
1.0	1.95734	5.66001e-23
1.0	2.15443	2.13831e-23
1.0	2.37137	7.63691e-24
1.0	2.61016	2.57521e-24
1.0	2.87298	8.27215e-25
1.0	3.16228	2.64341e-25
1.0	3.4807	9.43628e-26
1.0	3.83119	4.18509e-26
1.0	4.21697	2.15679e-26
1.0	4.64159	1.16881e-26
1.0	5.10897	6.41408e-27
1.0	5.62341	3.53101e-27
1.0	6.18966	1.94255e-27
1.0	6.81292	1.06408e-27
1.0	7.49894	5.77694e-28
1.0	8.25404	3.08967e-28
1.0	9.08518	1.61473e-28
1.0	10.0	8.16365e-29
