U[m/s]	f[Hz]	Noise[Hz^-1/2]
0.1	1.21153	5.20511e-22
0.1	1.33352	2.18623e-22
0.1	1.4678	8.74357e-23
0.1	1.6156	3.31352e-23
0.1	1.77828	1.18367e-23
0.1	1.95734	3.9633e-24
0.1	2.15443	1.23638e-24
0.1	2.37137	3.57564e-25
0.1	2.61016	9.6011e-26
0.1	2.87298	2.48432e-26
0.1	3.16228	7.35773e-27
0.1	3.4807	3.07459e-27
0.1	3.83119	1.55338e-27
0.1	4.21697	8.01474e-28
0.1	4.64159	4.03263e-28
0.1	5.10897	1.9448e-28
0.1	5.62341	8.85218e-29
0.1	6.18966	3.7339e-29
0.1	6.81292	1.42959e-29
0.1	7.49894	4.8458e-30
0.1	8.25404	1.41195e-30
0.1	9.08518	3.41538e-31
0.1	10.0	6.58022e-32
0.1	1.0	4.70761e-21
0.1	1.10069	2.24865e-21
0.1	1.21153	1.03573e-21
0.1	1.33352	4.58384e-22
0.1	1.4678	1.94177e-22
0.1	1.6156	7.83804e-23
0.1	1.77828	3.00071e-23
0.1	1.95734	1.08371e-23
0.1	2.15443	3.67239e-24
0.1	2.37137	1.16003e-24
0.1	2.61016	3.39529e-25
0.1	2.87298	9.16671e-26
0.1	3.16228	2.29955e-26
0.1	3.4807	5.78126e-27
0.1	3.83119	1.86854e-27
0.1	4.21697	8.41695e-28
0.1	4.64159	4.14833e-28
0.1	5.10897	1.99538e-28
0.1	5.62341	9.08273e-29
0.1	6.18966	3.83684e-29
0.1	6.81292	1.47258e-29
0.1	7.49894	5.00935e-30
0.1	8.25404	1.46704e-30
0.1	9.08518	3.57206e-31
0.1	10.0	6.93995e-32
0.1	1.0	7.73748e-21
0.1	1.10069	3.82868e-21
0.1	1.21153	1.83312e-21
0.1	1.33352	8.46482e-22
0.1	1.4678	3.75688e-22
0.1	1.6156	1.59615e-22
0.1	1.77828	6.46469e-23
0.1	1.95734	2.48347e-23
0.1	2.15443	9.00408e-24
0.1	2.37137	3.06377e-24
0.1	2.61016	9.71991e-25
0.1	2.87298	2.85613e-25
0.1	3.16228	7.73044e-26
0.1	3.4807	1.92238e-26
0.1	3.83119	4.52625e-27
0.1	4.21697	1.19439e-27
0.1	4.64159	4.51382e-28
0.1	5.10897	2.06624e-28
0.1	5.62341	9.35666e-29
0.1	6.18966	3.95599e-29
0.1	6.81292	1.52255e-29
0.1	7.49894	5.2007e-30
0.1	8.25404	1.5317e-30
0.1	9.08518	3.75812e-31
0.1	10.0	7.37408e-32
